OPEN 25.09.2018;MAX 25.09.2018;MIN 25.09.2018;CLOSE 25.09.2018;OPEN 23.10.2018;MAX 23.10.2018;MIN 23.10.2018;CLOSE 23.10.2018;OPEN 23.11.2018;MAX 23.11.2018;MIN 23.11.2018;CLOSE 23.11.2018;OPEN 03.12.2018;MAX 03.12.2018;MIN 03.12.2018;CLOSE 03.12.2018
115350;115740;115320;115540;111650;111650;110500;110630;113450;113450;112880;112890;112120;117390;112120;115820
115540;115560;115350;115400;110630;110700;110540;110640;112880;112890;112670;112700;115820;116100;115810;116070
115390;115400;115330;115370;110650;110870;110630;110840;112690;112790;112660;112730;116040;116090;115560;115600
115380;115400;115340;115390;110850;110850;110670;110670;112720;112790;112720;112740;115620;115800;115300;115340
115390;115400;115270;115370;110680;110820;110650;110660;112730;112760;112710;112740;115340;115540;115320;115490
115370;115420;115340;115410;110660;110790;110640;110780;112720;112830;112720;112820;115470;115580;115310;115410
115420;115460;115380;115410;110780;110830;110710;110740;112820;112820;112750;112760;115430;115470;115370;115430
115430;115490;115400;115440;110740;110840;110710;110800;112760;112810;112740;112780;115430;115520;115400;115490
115450;115470;115310;115380;110810;110850;110500;110600;112790;112820;112780;112810;115500;115650;115480;115630
115390;115440;115340;115370;110590;110630;110540;110580;112820;112830;112800;112810;115630;115970;115610;115960
115370;115390;115300;115320;110580;110650;110540;110580;112810;112850;112780;112820;115950;115980;115810;115850
115330;115330;115170;115240;110590;110710;110570;110710;112810;112820;112770;112810;115850;115920;115810;115840
115240;115240;115070;115170;110710;110790;110680;110720;112800;112810;112750;112790;115840;115870;115760;115780
115160;115170;115090;115130;110720;110870;110700;110850;112780;112800;112770;112790;115780;115820;115730;115780
115150;115150;115100;115140;110840;110920;110820;110880;112790;112800;112770;112780;115770;115850;115770;115820
115130;115150;115000;115020;110890;110900;110820;110900;112790;112800;112750;112780;115810;115850;115690;115700
115010;115030;114930;114930;110910;110930;110820;110840;112770;112770;112690;112710;115710;115730;115640;115640
114930;114950;114820;114830;110850;110900;110800;110870;112700;112870;112690;112860;115630;115740;115630;115710
114820;114840;114650;114710;110870;110920;110810;110840;112850;112850;112710;112740;115710;115750;115660;115680
114710;114710;114480;114690;110840;110900;110830;110900;112730;112770;112700;112740;115680;115750;115670;115700
114690;114690;114610;114670;110900;110920;110810;110890;112750;112750;112570;112610;115710;115750;115700;115730
114670;114850;114650;114850;110890;110890;110800;110860;112600;112650;112540;112590;115730;115750;115640;115650
114840;114860;114750;114780;110870;110910;110800;110870;112590;112600;112570;112600;115630;115640;115560;115580
114770;114820;114740;114750;110870;110960;110750;110950;112600;112640;112590;112630;115580;115580;115440;115470
114750;114790;114730;114760;110960;111080;110930;111040;112640;112650;112610;112640;115460;115490;115350;115380
114760;114770;114720;114760;111030;111050;110890;110910;112640;112650;112580;112590;115370;115450;115370;115410
114740;114840;114740;114830;110900;111060;110900;111060;112590;112590;112480;112540;115400;115440;115340;115420
114820;114830;114750;114790;111060;111090;110990;111040;112540;112560;112510;112550;115430;115460;115400;115440
114780;114850;114750;114820;111040;111070;110980;111020;112550;112610;112530;112600;115450;115520;115440;115510
114820;114850;114750;114760;111040;111040;110980;111000;112600;112610;112500;112530;115520;115750;115480;115630
114760;114850;114750;114830;110990;111170;110970;111130;112530;112540;112440;112470;115620;115690;115620;115660
114830;114840;114770;114830;111120;111170;111080;111120;112470;112560;112470;112510;115670;115680;115590;115610
114830;114920;114810;114900;111110;111170;111080;111140;112520;112550;112500;112540;115600;115670;115600;115630
114890;114900;114830;114880;111140;111210;111140;111200;112540;112550;112520;112540;115630;115680;115610;115620
114890;114950;114810;114830;111200;111220;111150;111170;112540;112600;112540;112590;115620;115670;115590;115620
114830;114850;114790;114810;111180;111200;111130;111170;112590;112610;112570;112590;115620;115650;115610;115630
114810;114910;114780;114910;111180;111200;111140;111170;112590;112590;112520;112560;115630;115690;115620;115670
114890;114930;114880;114880;111160;111200;111120;111140;112550;112580;112540;112540;115680;115700;115650;115660
114870;114890;114760;114770;111140;111180;111120;111180;112550;112640;112540;112630;115660;115670;115610;115610
114770;114770;114650;114650;111170;111170;111090;111090;112630;112640;112600;112630;115610;115640;115590;115610
114650;114690;114630;114640;111090;111110;111060;111080;112630;112660;112600;112620;115620;115640;115570;115630
114640;114690;114610;114660;111070;111100;111050;111100;112620;112620;112550;112570;115630;115650;115590;115610
114660;114670;114610;114630;111090;111150;111060;111090;112560;112610;112540;112610;115600;115630;115570;115620
114650;114730;114640;114650;111080;111120;111020;111040;112610;112630;112580;112600;115620;115680;115600;115620
114670;114740;114650;114680;111030;111100;111020;111020;112600;112630;112570;112610;115610;115660;115600;115630
114680;114700;114540;114570;111020;111040;110870;110910;112600;112610;112580;112590;115630;115770;115630;115740
114560;114620;114450;114600;110900;110970;110880;110920;112590;112620;112570;112620;115740;115750;115710;115730
114600;114650;114560;114580;110930;110960;110870;110940;112620;112650;112620;112640;115730;115750;115710;115720
114560;114590;114460;114590;110940;111010;110930;110940;112630;112720;112630;112670;115710;115750;115670;115690
114590;114590;114500;114510;110930;110930;110870;110870;112650;112700;112640;112700;115690;115720;115650;115650
114510;114630;114500;114570;110890;110900;110850;110880;112700;112710;112640;112690;115660;115750;115650;115730
114580;114600;114490;114580;110880;110920;110850;110870;112690;112750;112690;112750;115720;115740;115700;115730
114600;114630;114560;114630;110870;111000;110870;110980;112750;112770;112730;112770;115730;115780;115730;115740
114620;114670;114590;114640;110980;110980;110920;110930;112770;112820;112760;112780;115750;115810;115750;115800
114630;114660;114630;114650;110950;110990;110930;110930;112780;112840;112750;112810;115800;115810;115760;115760
114650;114680;114590;114670;110920;110930;110830;110870;112810;112810;112750;112780;115760;115820;115760;115820
114680;114700;114610;114640;110880;110910;110820;110830;112780;112790;112760;112770;115810;115830;115740;115760
114640;114690;114620;114660;110830;110850;110680;110690;112780;112820;112760;112820;115750;115770;115710;115720
114650;114700;114610;114700;110690;110760;110690;110730;112800;112810;112720;112780;115710;115740;115700;115730
114700;114700;114650;114680;110740;110740;110670;110670;112770;112780;112730;112770;115730;115750;115700;115720
114670;114700;114620;114670;110670;110730;110620;110730;112770;112810;112730;112740;115720;115770;115610;115620
114660;114730;114650;114710;110730;110760;110710;110710;112740;112790;112730;112760;115630;115710;115610;115640
114700;114720;114670;114680;110710;110780;110690;110730;112750;112760;112680;112730;115640;115680;115530;115550
114680;114680;114620;114660;110730;110750;110690;110720;112740;112750;112690;112730;115560;115570;115430;115440
114670;114680;114630;114660;110710;110740;110670;110720;112730;112730;112680;112680;115430;115470;115280;115300
114640;114700;114630;114670;110720;110720;110670;110690;112690;112700;112540;112610;115290;115370;115260;115310
114660;114690;114630;114650;110680;110730;110630;110690;112600;112650;112570;112610;115300;115300;115240;115280
114650;114660;114370;114470;110700;110850;110700;110840;112600;112650;112580;112610;115270;115270;115220;115230
114470;114500;114430;114460;110850;110890;110780;110810;112590;112640;112550;112630;115240;115270;115200;115240
114450;114490;114360;114400;110800;110840;110750;110800;112640;112640;112550;112590;115230;115330;115230;115310
114380;114390;114290;114310;110790;110800;110760;110790;112600;112630;112540;112550;115300;115330;115270;115280
114310;114340;114280;114320;110790;110870;110720;110830;112560;112560;112480;112520;115290;115300;115240;115240
114310;114340;114280;114320;110850;110850;110780;110800;112520;112600;112520;112560;115240;115300;115240;115270
114330;114330;114260;114280;110790;110800;110660;110680;112570;112640;112570;112630;115270;115320;115260;115270
114290;114330;114250;114260;110680;110710;110650;110680;112620;112690;112600;112690;115270;115280;115200;115210
114250;114350;114220;114290;110680;110720;110590;110640;112700;112700;112590;112660;115210;115300;115210;115280
114290;114340;114270;114330;110640;110680;110610;110650;112670;112700;112630;112700;115280;115360;115280;115350
114310;114340;114250;114310;110640;110660;110580;110620;112690;112770;112690;112720;115340;115420;115340;115400
114310;114320;114280;114300;110620;110620;110560;110570;112720;112760;112670;112750;115410;115420;115380;115400
114300;114350;114280;114350;110570;110610;110410;110430;112760;112790;112720;112770;115380;115400;115320;115340
114340;114390;114300;114380;110430;110560;110380;110560;112780;112880;112730;112810;115360;115450;115360;115450
114380;114410;114340;114370;110540;110670;110540;110600;112810;112890;112810;112850;115450;115490;115420;115480
114360;114470;114360;114450;110600;110670;110580;110670;112850;112850;112790;112790;115490;115520;115440;115460
114440;114470;114390;114430;110660;110670;110590;110640;112790;112800;112720;112720;115460;115490;115430;115450
114420;114470;114410;114470;110660;110710;110600;110680;112720;112750;112670;112730;115440;115550;115410;115410
114470;114480;114400;114470;110680;110690;110590;110600;112730;112740;112620;112620;115410;115570;115410;115570
114470;114480;114420;114470;110590;110630;110560;110600;112630;112740;112620;112690;115570;115580;115480;115480
114470;114490;114450;114490;110600;110610;110390;110410;112680;112730;112650;112710;115490;115660;115490;115660
114490;114580;114480;114560;110400;110490;110390;110450;112710;112850;112710;112810;115660;115670;115600;115610
114570;114700;114570;114680;110460;110480;110380;110400;112810;112900;112810;112880;115610;115670;115550;115580
114670;114680;114600;114610;110400;110480;110280;110470;112890;112890;112690;112710;115600;115650;115590;115630
114600;114660;114570;114620;110470;110470;110410;110440;112710;112760;112640;112670;115630;115670;115570;115590
114620;114640;114600;114620;110440;110550;110420;110540;112660;112690;112630;112670;115600;115640;115590;115610
114620;114640;114580;114640;110550;110700;110530;110650;112660;112690;112620;112640;115620;115640;115550;115600
114630;114640;114560;114560;110660;110700;110630;110680;112630;112650;112570;112650;115600;115690;115600;115650
114570;114580;114530;114530;110680;110690;110570;110690;112650;112650;112530;112570;115660;115660;115610;115610
114540;114580;114530;114560;110680;110680;110620;110650;112560;112650;112550;112640;115610;115630;115570;115610
114570;114670;114570;114660;110640;110690;110570;110600;112640;112640;112540;112560;115620;115640;115590;115610
114660;114780;114650;114770;110620;110650;110600;110630;112560;112650;112500;112610;115600;115640;115600;115640
114760;114800;114700;114700;110640;110650;110560;110570;112590;112600;112540;112560;115640;115640;115520;115520
114700;114760;114700;114750;110570;110650;110560;110640;112550;112660;112550;112650;115520;115600;115520;115540
114750;114750;114710;114720;110660;110690;110600;110620;112660;112760;112620;112690;115530;115560;115520;115530
114710;114720;114670;114720;110630;110790;110580;110730;112700;112720;112640;112700;115530;115620;115510;115580
114720;114770;114700;114760;110720;110780;110700;110770;112700;112780;112700;112760;115590;115590;115560;115570
114760;114780;114710;114750;110770;110860;110720;110840;112750;112780;112710;112730;115570;115610;115560;115580
114750;114750;114680;114720;110850;110890;110800;110820;112720;112760;112690;112690;115590;115660;115580;115600
114710;114740;114680;114710;110820;110840;110730;110730;112700;112730;112670;112720;115600;115640;115580;115630
114700;114710;114680;114690;110730;110760;110710;110710;112720;112730;112690;112690;115620;115660;115580;115610
114710;114720;114680;114710;110710;110790;110710;110770;112700;112710;112680;112680;115610;115620;115580;115590
114700;114760;114700;114750;110770;110800;110720;110720;112680;112710;112650;112650;115590;115620;115580;115590
114750;114840;114740;114810;110730;110770;110710;110720;112650;112710;112650;112690;115580;115600;115550;115580
114800;114830;114750;114790;110720;110760;110700;110700;112680;112760;112680;112730;115590;115600;115550;115560
114790;114840;114760;114770;110700;110740;110700;110730;112740;112750;112690;112690;115560;115630;115560;115630
114780;114810;114740;114800;110730;110800;110710;110780;112680;112700;112610;112650;115620;115670;115600;115660
114800;114920;114800;114920;110770;110790;110740;110740;112660;112660;112620;112630;115650;115680;115600;115620
114900;114970;114870;114880;110740;110750;110670;110730;112610;112640;112590;112630;115620;115670;115590;115610
114890;114920;114880;114880;110720;110740;110690;110710;112640;112650;112590;112620;115610;115720;115580;115650
114900;114950;114880;114890;110710;110720;110650;110660;112630;112650;112610;112650;115650;115720;115550;115550
114900;114910;114870;114890;110660;110710;110650;110670;112650;112690;112640;112690;115550;115580;115520;115560
114890;114910;114830;114840;110670;110680;110600;110610;112670;112710;112630;112640;115550;115590;115540;115570
114840;114890;114830;114850;110600;110660;110590;110600;112640;112640;112570;112610;115560;115600;115480;115480
114860;114890;114850;114870;110610;110630;110540;110580;112620;112650;112600;112620;115480;115540;115470;115500
114870;114890;114820;114820;110580;110580;110520;110540;112640;112700;112620;112700;115510;115540;115490;115530
114820;114850;114780;114800;110550;110560;110440;110450;112680;112700;112650;112680;115520;115560;115500;115550
114810;114880;114780;114850;110450;110500;110410;110500;112690;112720;112670;112710;115540;115590;115530;115580
114870;114870;114820;114850;110500;110510;110430;110470;112690;112690;112650;112670;115560;115580;115510;115520
114840;114860;114780;114800;110470;110510;110460;110470;112680;112680;112620;112620;115530;115590;115490;115490
114800;114800;114640;114690;110470;110510;110450;110510;112620;112640;112590;112610;115490;115500;115400;115430
114690;114790;114690;114740;110510;110600;110510;110580;112610;112650;112580;112650;115430;115430;115370;115390
114740;114790;114740;114740;110580;110600;110500;110520;112640;112650;112630;112640;115380;115400;115330;115340
114740;114750;114700;114730;110520;110590;110500;110580;112630;112660;112620;112660;115340;115420;115310;115350
114730;114810;114710;114780;110580;110630;110570;110590;112660;112660;112630;112630;115370;115420;115360;115370
114780;114860;114780;114860;110590;110670;110580;110610;112640;112640;112590;112600;115370;115370;115300;115310
114860;114960;114860;114960;110610;110660;110570;110600;112620;112740;112570;112720;115320;115340;115280;115300
114950;115060;114930;115050;110600;110640;110560;110630;112710;112780;112700;112750;115290;115340;115280;115340
115050;115210;115050;115100;110610;110630;110500;110520;112760;112800;112710;112750;115330;115340;115250;115270
115120;115210;115080;115210;110510;110550;110500;110510;112760;112780;112690;112720;115280;115310;115270;115310
115190;115200;115120;115120;110500;110530;110360;110390;112710;112770;112710;112770;115290;115330;115260;115330
115130;115240;115130;115200;110400;110460;110390;110390;112770;112770;112720;112740;115330;115360;115320;115330
115200;115220;115160;115190;110400;110450;110330;110340;112750;112770;112720;112760;115330;115330;115240;115280
115190;115190;115120;115140;110340;110440;110310;110440;112750;112760;112700;112700;115280;115360;115270;115340
115150;115160;115100;115140;110450;110650;110450;110640;112700;112710;112580;112610;115340;115340;115220;115270
115150;115160;115100;115110;110650;110680;110620;110630;112600;112610;112520;112570;115270;115290;115210;115230
115110;115150;115110;115140;110620;110660;110590;110590;112570;112620;112560;112610;115230;115230;115100;115140
115130;115170;115100;115140;110590;110600;110510;110510;112610;112710;112610;112710;115140;115170;115100;115170
115160;115200;115150;115170;110520;110530;110410;110430;112700;112700;112620;112640;115170;115200;115140;115170
115170;115230;115160;115180;110440;110440;110220;110260;112630;112630;112600;112610;115170;115180;115110;115160
115200;115280;115190;115210;110270;110350;110250;110330;112610;112650;112600;112650;115160;115200;115130;115140
115200;115250;115190;115200;110330;110380;110230;110310;112640;112690;112640;112670;115140;115150;115110;115150
115200;115210;115160;115180;110280;110300;110130;110140;112650;112660;112570;112580;115140;115200;115110;115170
115170;115240;115100;115130;110140;110250;110110;110230;112580;112590;112420;112480;115180;115250;115180;115210
115140;115150;115100;115140;110220;110230;110160;110180;112480;112560;112470;112560;115220;115230;115170;115190
115140;115170;115100;115110;110180;110230;110150;110160;112550;112620;112540;112600;115200;115250;115190;115240
115110;115130;115060;115130;110160;110220;110150;110210;112590;112610;112540;112570;115220;115310;115210;115280
115130;115130;115060;115090;110200;110230;110180;110230;112570;112590;112510;112510;115270;115300;115250;115280
115080;115090;114910;114950;110230;110230;110180;110200;112530;112560;112520;112550;115270;115280;115220;115250
114940;115030;114900;115000;110180;110200;110120;110140;112540;112600;112520;112580;115250;115280;115230;115270
115020;115050;115000;115040;110130;110180;110130;110150;112570;112610;112530;112540;115250;115290;115240;115290
115020;115030;114990;115020;110160;110310;110150;110290;112540;112580;112530;112580;115290;115290;115260;115260
115020;115050;115000;115030;110310;110380;110300;110350;112580;112590;112530;112580;115260;115270;115230;115230
115040;115040;114970;114980;110340;110340;110270;110300;112580;112620;112550;112580;115240;115290;115230;115260
114990;115010;114940;114970;110300;110310;110250;110260;112590;112600;112580;112580;115260;115320;115230;115310
114960;115020;114950;115010;110250;110300;110250;110260;112570;112580;112540;112560;115310;115310;115270;115300
115020;115030;114980;115000;110270;110340;110260;110280;112560;112570;112500;112510;115290;115300;115260;115270
114990;115030;114980;115030;110280;110290;110190;110290;112500;112560;112500;112550;115260;115420;115260;115380
115030;115030;114930;114980;110280;110320;110260;110270;112550;112580;112550;112560;115380;115380;115280;115300
114980;115000;114920;114930;110270;110340;110270;110330;112560;112600;112550;112570;115310;115330;115270;115310
114920;114990;114910;114960;110320;110350;110280;110350;112570;112570;112520;112540;115320;115370;115320;115360
114980;114990;114920;114940;110350;110380;110320;110340;112530;112610;112530;112610;115350;115380;115340;115350
114950;115020;114950;115000;110340;110390;110320;110390;112600;112650;112590;112630;115350;115360;115300;115310
115010;115030;114960;115000;110390;110470;110300;110460;112630;112640;112560;112580;115310;115380;115310;115350
115020;115020;114970;114970;110460;110480;110410;110430;112580;112650;112580;112640;115350;115370;115340;115350
114990;115020;114970;115010;110430;110510;110430;110510;112640;112650;112620;112620;115350;115360;115330;115360
115010;115030;114960;115000;110510;110520;110440;110440;112620;112630;112570;112570;115340;115390;115330;115360
115000;115020;114930;114980;110440;110470;110430;110470;112570;112610;112570;112610;115350;115410;115340;115340
114990;115000;114930;114940;110480;110490;110430;110490;112600;112600;112570;112570;115330;115360;115330;115340
